case:concept:name,concept_A_ACCEPTED,concept_A_ACTIVATED,concept_A_APPROVED,concept_A_CANCELLED,concept_A_DECLINED,concept_A_FINALIZED,concept_A_PARTLYSUBMITTED,concept_A_PREACCEPTED,concept_A_REGISTERED,concept_A_SUBMITTED,concept_O_ACCEPTED,concept_O_CANCELLED,concept_O_CREATED,concept_O_DECLINED,concept_O_SELECTED,concept_O_SENT,concept_O_SENT_BACK,concept_W_Afhandelen leads,concept_W_Beoordelen fraude,concept_W_Completeren aanvraag,concept_W_Nabellen incomplete dossiers,concept_W_Nabellen offertes,concept_W_Valideren aanvraag,concept_W_Wijzigen contractgegevens
174234,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
174237,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,3,0,5,15,15,3,0
174240,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0
174243,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0
174246,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
174249,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,0
174252,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,5,5,9,10,0
174255,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,9,0,3,5,0
174258,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0
174261,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,3,0,7,11,5,6,0
174264,1,1,1,0,0,1,1,1,1,1,1,1,2,0,2,2,1,5,0,5,13,26,6,0
174267,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174270,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,41,0,17,0,0
174273,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
174276,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174279,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,3,0,3,0,0
174282,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
174285,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,3,5,3,10,0
174288,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0
174291,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,3,0,9,0,15,0,0
174294,1,0,0,1,0,1,1,1,0,1,0,2,2,0,2,2,0,3,0,3,0,33,0,0
174297,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,3,0,5,0,0,0,0
174300,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
174303,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,3,0,5,0,0,0,0
174319,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,11,3,5,8,0
174322,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,5,0,20,0,0
174325,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,11,9,5,8,0
174328,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174331,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0
174334,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,5,0,7,5,0
174337,1,1,1,0,0,1,1,1,1,1,1,1,2,0,2,2,2,3,0,3,26,9,11,0
174340,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174343,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,3,25,3,6,0
174346,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
174349,1,0,0,1,0,1,1,1,0,1,0,2,2,0,2,2,0,0,0,3,0,18,0,0
174352,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
174355,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
174358,1,0,0,0,1,1,1,1,0,1,0,1,2,1,2,2,2,0,0,5,31,11,6,0
174361,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,5,0,15,0,0,0,0
174364,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
174367,1,0,0,1,0,1,1,1,0,1,0,2,2,0,2,2,0,0,0,3,0,10,0,0
174370,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174373,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174376,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0
174379,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,7,0,7,0,0
174382,1,1,1,0,0,1,1,1,1,1,1,2,3,0,3,3,1,0,0,3,20,8,8,0
174385,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,3,0,3,5,0
174388,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,5,0,5,5,0
174391,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174394,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,3,0,3,3,0
174397,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,5,40,19,15,0
174400,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0
174403,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,3,0,5,0,15,5,0
174406,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,3,0,32,0,0
174409,1,1,1,0,0,1,1,1,1,1,1,1,2,0,2,2,1,0,0,11,7,10,6,0
174412,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174415,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,3,0,5,3,0
174418,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,3,0,21,7,11,6,0
174421,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0
174424,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,3,0,3,7,5,8,0
174427,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174430,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,5,0,3,3,0
174433,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0
174436,1,0,0,0,1,1,1,1,0,1,0,2,3,1,3,3,1,3,0,5,7,21,5,0
174439,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174442,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0
174445,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0
174448,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,3,5,3,10,0
174451,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0,5,0,0,0,0
174454,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174457,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0
174460,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174463,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,5,16,7,9,0
174466,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174469,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,3,0,5,0,3,3,0
174472,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
174475,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0
174478,1,1,1,0,0,1,1,1,1,1,1,1,2,0,2,2,1,3,0,7,7,12,3,0
174481,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0,23,0,0,0,0
174484,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,3,0,7,0,0,0,0
174487,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,5,0,3,3,0
174490,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0,15,0,0,0,0
174493,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,3,0,24,0,0
